"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 04 17:21:05 IST 2024","Mon Mar 04 17:21:09 IST 2024","3726","chromium","sanity.spec.js","","","","Load the URL",""
"passed","Tue Mar 05 14:38:36 IST 2024","Tue Mar 05 14:38:37 IST 2024","1485","chromium","api_sanity.spec.js","","","","HTTP GET request test",""
